Area,BHK,Bathroom,Furnishing,Location,District,Locality,Parking,Status,Transaction,Type,Per_Sqft,Price
1080,3,1,Unfurnished,Dilshad Garden, East Delhi,Dilshad Garden,1,Ready_to_move,New_Property,Apartment,8333,7000000
500,2,1,Furnished,Dilshad Garden, East Delhi,Dilshad Garden,1,Ready_to_move,Resale,Apartment,12000,5800000
430.556,1,1,Unfurnished,Dilshad Garden, East Delhi,Dilshad Garden,1,Ready_to_move,Resale,Apartment,9375,4300000
1450,2,2,Unfurnished,Dilshad Garden, East Delhi,Dilshad Garden,1,Ready_to_move,Resale,Apartment,5200,7000000
1500,4,1,Unfurnished,Dilshad Garden, East Delhi,"Dilshad Garden carpet area 1500 sqft status Ready to Move floor 2 out of 4 floors transaction Resale furnishing Unfurnished bathroom 1 balcony 2 Mig dda flat located at a very prime location near to market, school, hospital, metro station etc. Contact Owner View Phone No. Share Feedback Owner R",,Ready_to_move,Resale,Apartment,,12500000
760,3,2,Furnished,Geeta Colony, East Delhi,Geeta Colony,1,Ready_to_move,Resale,Builder_Floor,6667,6000000
380,1,1,Unfurnished,Geeta Colony, East Delhi,Geeta Colony,1,Ready_to_move,Resale,Builder_Floor,6667,2200000
810,5,6,Furnished,Geeta Colony, East Delhi,Geeta Colony,1,Ready_to_move,Resale,Apartment,6667,28900000
100,3,2,Unfurnished,Geeta Colony, East Delhi,Geeta Colony,1,Ready_to_move,Resale,Builder_Floor,6667,5500000
58,2,1,Unfurnished,Geeta Colony, East Delhi,Geeta Colony,1,Ready_to_move,Resale,Apartment,6667,3800000
1350,3,3,Semi-Furnished,Vasundhara, East Delhi,"Gobind Apartment, Vasundhara Enclave",1,Ready_to_move,Resale,Apartment,10000,11000000
976,2,2,Furnished,Okhla, East Delhi,"Godrej South Estate, Okhla",1,Ready_to_move,New_Property,Apartment,25512,24900000
976,2,2,Furnished,Okhla, East Delhi,"Godrej South Estate, Okhla",1,Ready_to_move,New_Property,Apartment,25512,24900000
1500,2,2,Furnished,Okhla, East Delhi,"Godrej South Estate, Okhla",2,Almost_ready,New_Property,Apartment,16466,24700000
976,2,2,Furnished,Okhla, East Delhi,"Godrej South Estate, Okhla",2,Almost_ready,New_Property,Apartment,25512,24900000
1531,2,2,Unfurnished,Okhla, East Delhi,"Godrej South Estate, Okhla",2,Almost_ready,New_Property,Apartment,16917,25900000
1512,2,2,Unfurnished,Okhla, East Delhi,"Godrej South Estate, Okhla",1,Almost_ready,New_Property,Apartment,19841,30000000
979.5149,2,2,Unfurnished,Okhla, East Delhi,"Godrej South Estate, Okhla Phase 1",1,Almost_ready,New_Property,Apartment,30000,24800000
945,2,2,Semi-Furnished,Okhla, East Delhi,"Godrej South Estate, Okhla Phase 1",1,Almost_ready,New_Property,Apartment,30000,24900000
976,2,2,Unfurnished,Okhla, East Delhi,"Godrej South Estate, Okhla Phase 1",2,Almost_ready,New_Property,Apartment,30000,24900000
2518.7526,4,5,Unfurnished,Okhla, East Delhi,"Godrej South Estate, Okhla Phase 1",2,Almost_ready,New_Property,Apartment,10320,68900000
550,2,2,Unfurnished,Laxmi Nagar, East Delhi,"Guru Angad Nagar West, Laxmi Nagar",2,Ready_to_move,New_Property,Builder_Floor,32000,3600000
387,1,2,Unfurnished,Laxmi Nagar, East Delhi,"Guru Angad Nagar West, Laxmi Nagar",2,Ready_to_move,New_Property,Builder_Floor,32000,1700000
270,1,1,Semi-Furnished,Laxmi Nagar, East Delhi,"Guru Angad Nagar West, Laxmi Nagar",1,Ready_to_move,Resale,Builder_Floor,11111,2300000
750,2,1,Unfurnished,Dilshad Garden, East Delhi,"Guru Teg Bahadur Enclave, Dilshad Garden",,Ready_to_move,Resale,Apartment,,7350000
1050,2,2,Semi-Furnished,Vasundhara, East Delhi,"Hindon Apartment, Vasundhara Enclave",1,Ready_to_move,Resale,Apartment,10000,10000000
588,2,2,Unfurnished,Okhla, East Delhi,"Jamia Nagar, Okhla",2,Ready_to_move,New_Property,Apartment,10320,1800000
441,2,1,Unfurnished,Laxmi Nagar, East Delhi,"Krishan Kunj, Laxmi Nagar",1,Ready_to_move,Resale,Apartment,32000,3500000
450,2,1,Unfurnished,Laxmi Nagar, East Delhi,"Lalita Park, Laxmi Nagar",2,Ready_to_move,Resale,Apartment,32000,2500000
800,3,2,Semi-Furnished,Laxmi Nagar, East Delhi,"Lalita Park, Laxmi Nagar",1,Ready_to_move,Resale,Builder_Floor,32000,5400000
801,3,2,Semi-Furnished,Laxmi Nagar, East Delhi,Laxmi Nagar,1,Ready_to_move,New_Property,Builder_Floor,,6000000
450,1,2,Unfurnished,Laxmi Nagar, East Delhi,Laxmi Nagar,1,Ready_to_move,Resale,Builder_Floor,,2700000
1000,3,2,Unfurnished,Laxmi Nagar, East Delhi,Laxmi Nagar,1,Ready_to_move,Resale,Apartment,,6500000
990,3,2,Unfurnished,Laxmi Nagar, East Delhi,Laxmi Nagar,1,Ready_to_move,Resale,Apartment,4040,4000000
420,2,1,Semi-Furnished,Laxmi Nagar, East Delhi,Laxmi Nagar,1,Ready_to_move,New_Property,Builder_Floor,4040,2600000
450,2,1,Semi-Furnished,Laxmi Nagar, East Delhi,Laxmi Nagar,1,Ready_to_move,Resale,Builder_Floor,7778,3500000
1000,2,2,Unfurnished,Laxmi Nagar, East Delhi,Laxmi Nagar,1,Ready_to_move,Resale,Apartment,7778,7500000
900,3,2,Semi-Furnished,Laxmi Nagar, East Delhi,Laxmi Nagar,1,Ready_to_move,Resale,Builder_Floor,7778,7000000
800,3,2,Semi-Furnished,Laxmi Nagar, East Delhi,Laxmi Nagar,1,Ready_to_move,New_Property,Builder_Floor,7778,4500000
720,3,3,Semi-Furnished,Laxmi Nagar, East Delhi,Laxmi Nagar,2,Ready_to_move,Resale,Builder_Floor,7778,5500000
450,2,1,Semi-Furnished,Laxmi Nagar, East Delhi,Laxmi Nagar,2,Ready_to_move,New_Property,Builder_Floor,7778,2700000
675,2,2,Furnished,Laxmi Nagar, East Delhi,Laxmi Nagar,2,Ready_to_move,Resale,Builder_Floor,32000,2400000
1700,4,3,Unfurnished,Laxmi Nagar, East Delhi,Laxmi Nagar,2,Ready_to_move,New_Property,Builder_Floor,32000,11500000
